# id	prec_1	prec_2	prec_3
M6-Z-5.0-60k	6.9198392	13.2864041	7.1999128
M6-Z-5.0-80k	5.2321418	10.0619621	5.4431326
M6-Z-5.0-100k	4.3514484	8.3877406	4.5266720
M6-Z-10.0-60k	14.3618000	27.1037863	14.9552182
M6-Z-10.0-80k	11.7690449	22.1770120	12.2559092
M6-Z-10.0-100k	10.2012108	19.2497917	10.6236212
M6-Y-1.0-60k	5.3908337	6.8638958	5.4665962
M6-Y-1.0-80k	3.4284325	4.4461424	3.4781274
M6-Y-1.0-100k	2.4458005	3.2021716	2.4819561
M6-Y-5.0-60k	8.3726407	10.2972684	8.4814865
M6-Y-5.0-80k	6.4651990	8.0086587	6.5514992
M6-Y-5.0-100k	5.3853875	6.6903434	5.4579757
M6-Y-10.0-60k	14.3977074	17.2150716	14.5674815
M6-Y-10.0-80k	11.9471873	14.3197035	12.0890380
M6-Y-10.0-100k	10.3308660	12.3899739	10.4538935
M6-J-1.0-60k	8.0945537	21.5352475	8.5675600
M6-J-1.0-80k	5.1228074	13.4364673	5.4160882
M6-J-1.0-100k	3.6829906	9.5564120	3.8916154
M6-J-5.0-60k	12.9587426	34.7619538	13.7366827
M6-J-5.0-80k	9.9705699	26.6509309	10.5681751
M6-J-5.0-100k	8.3502567	22.3037223	8.8502465
M6-J-10.0-60k	23.8008179	63.1084890	25.2063835
M6-J-10.0-80k	19.7317080	52.2622516	20.8963717
M6-J-10.0-100k	17.2015333	45.5903393	18.2172482
M6-H-1.0-60k	6.1949000	11.9954842	6.4135252
M6-H-1.0-80k	4.1596028	8.0500621	4.3075515
M6-H-1.0-100k	3.1695143	6.1291172	3.2826427
M6-H-5.0-60k	9.4631737	18.3107945	9.7946104
M6-H-5.0-80k	7.3261190	14.1193847	7.5822647
M6-H-5.0-100k	6.1803051	11.8779233	6.3958343
M6-H-10.0-60k	17.4828341	34.4577826	18.1019327
M6-H-10.0-80k	14.4670065	28.4531775	14.9828115
M6-H-10.0-100k	12.6304957	24.7847629	13.0813282
M6-K-1.0-60k	7.6223404	25.4491748	8.1278845
M6-K-1.0-80k	5.0633797	17.0176140	5.3993705
M6-K-1.0-100k	3.8357022	12.9066356	4.0909047
M6-K-5.0-60k	11.9181101	38.7729017	12.7080008
M6-K-5.0-80k	9.1727697	29.9991883	9.7812994
M6-K-5.0-100k	7.7213456	25.3029830	8.2339324
M6-K-10.0-60k	22.6911692	70.2734124	24.2003046
M6-K-10.0-80k	18.7756355	58.3147487	20.0233944
M6-K-10.0-100k	16.4036023	50.9134831	17.4919066
M9-Z-1.0-60k	3.3868844	7.1031695	3.5380233
M9-Z-1.0-80k	2.0515769	4.3161633	2.1441189
M9-Z-1.0-100k	1.4367780	3.0364528	1.5021547
M9-Z-5.0-60k	5.8709978	12.1216757	6.1324233
M9-Z-5.0-80k	4.4380415	9.1799126	4.6347619
M9-Z-5.0-100k	3.6911567	7.6509450	3.8544569
M9-Z-10.0-60k	12.1527543	24.7202690	12.7093311
M9-Z-10.0-80k	9.9662636	20.2351077	10.4229866
M9-Z-10.0-100k	8.6433331	17.5703158	9.0397636
M9-Y-1.0-60k	4.4167109	5.8171013	4.4849697
M9-Y-1.0-80k	2.7614391	3.7160314	2.8055465
M9-Y-1.0-100k	1.9485794	2.6492662	1.9803196
M9-Y-5.0-60k	6.9572866	8.7657159	7.0547596
M9-Y-5.0-80k	5.3584146	6.8170469	5.4359725
M9-Y-5.0-100k	4.4602101	5.6969967	4.5255532
M9-Y-10.0-60k	11.8634227	14.3656223	12.0085826
M9-Y-10.0-80k	9.8579239	11.9759469	9.9797146
M9-Y-10.0-100k	8.5314416	10.3734774	8.6372621
M9-J-1.0-60k	5.8887787	15.9058615	6.2341230
M9-J-1.0-80k	3.6881717	9.7934063	3.8989566
M9-J-1.0-100k	2.6357073	6.9106030	2.7845810
M9-J-5.0-60k	9.5579032	26.0330714	10.1369105
M9-J-5.0-80k	7.3299829	19.8982789	7.7726120
M9-J-5.0-100k	6.1281121	16.6210812	6.4977550
M9-J-10.0-60k	17.7580771	46.7857000	18.7906162
M9-J-10.0-80k	14.7125072	38.7588843	15.5698013
M9-J-10.0-100k	12.8219354	33.8240548	13.5697640
M9-H-1.0-60k	4.8511622	9.6060319	5.0282438
M9-H-1.0-80k	3.2325430	6.3776447	3.3513218
M9-H-1.0-100k	2.4507536	4.8184033	2.5409917
M9-H-5.0-60k	7.4836884	14.9218989	7.7559761
M9-H-5.0-80k	5.7831360	11.4648933	5.9929692
M9-H-5.0-100k	4.8736948	9.6246769	5.0499941
M9-H-10.0-60k	13.9348572	28.6416291	14.4526038
M9-H-10.0-80k	11.5327848	23.6335848	11.9642211
M9-H-10.0-100k	10.0711885	20.5861104	10.4485934
M9-K-1.0-60k	5.7691746	19.0014685	6.1553904
M9-K-1.0-80k	3.8077964	12.5327060	4.0620768
M9-K-1.0-100k	2.8693572	9.4050466	3.0610070
M9-K-5.0-60k	9.0392188	29.3686653	9.6456976
M9-K-5.0-80k	6.9591116	22.6747515	7.4265762
M9-K-5.0-100k	5.8580080	19.0966331	6.2516991
M9-K-10.0-60k	17.1387948	53.6466391	18.2879165
M9-K-10.0-80k	14.1958214	44.5257644	15.1465827
M9-K-10.0-100k	12.4076403	38.8885078	13.2369284
